,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Sector
ABB,0.19148936170212766,3.0989372101245816e-05,0.34723777528928707,0.9803921568627451,Capital Goods
ADANIENSOL,0.1595744680851064,0.0,0.32183013319494896,1.0,Power
ADANIENT,0.39361702127659576,0.0049250959355733965,0.43027289546716,0.7717717717717718,Metals & Mining
ADANIGREEN,0.26595744680851063,0.0009840146437672369,0.35986460348162475,0.9066666666666666,Power
ADANIPORTS,0.4361702127659574,0.015972796806172588,0.46570713391739677,0.6646341463414634,Services
ADANIPOWER,0.24468085106382978,0.00015173648264275223,0.34723777528928707,0.9604743083003953,Power
AMBUJACEM,0.4574468085106383,0.019495480893736167,0.46029193468579915,0.6068660022148394,Construction Materials
APOLLOHOSP,0.0,0.0,0.0,0.0,Healthcare
ASIANPAINT,0.010638297872340425,0.0,0.010638297872340425,0.0,Consumer Durables
DMART,0.0,0.0,0.0,0.0,Consumer Services
AXISBANK,0.13829787234042554,0.0015168818815823855,0.32714963952874976,0.7692307692307693,Financial Services
BAJAJ-AUTO,0.0,0.0,0.0,0.0,Automobile and Auto Components
BAJFINANCE,0.09574468085106383,0.0005253014604421608,0.3192347288949897,0.8055555555555556,Financial Services
BAJAJFINSV,0.18085106382978722,0.042375436327049223,0.35986460348162475,0.6029411764705882,Financial Services
BAJAJHLDNG,0.0,0.0,0.0,0.0,Financial Services
BANKBARODA,0.39361702127659576,0.0055755384584334705,0.43027289546716,0.7642642642642643,Financial Services
BEL,0.4361702127659574,0.026542229344173954,0.44477647621324407,0.6463414634146342,Capital Goods
BPCL,0.30851063829787234,0.0004028690687928529,0.39193174636612593,0.9458128078817734,Oil Gas & Consumable Fuels
BHARTIARTL,0.0,0.0,0.0,0.0,Telecommunication
BOSCHLTD,0.0,0.0,0.0,0.0,Automobile and Auto Components
BRITANNIA,0.02127659574468085,0.0,0.024316109422492398,1.0,Fast Moving Consumer Goods
CGPOWER,0.0,0.0,0.0,0.0,Capital Goods
CANBK,0.4361702127659574,0.012591966646248433,0.44983075435203096,0.6621951219512195,Financial Services
CHOLAFIN,0.05319148936170213,5.0840133201148985e-05,0.29106695869837296,0.8,Financial Services
CIPLA,0.010638297872340425,0.0,0.010638297872340425,0.0,Healthcare
COALINDIA,0.36170212765957444,0.0026395507951296675,0.408093880236894,0.8074866310160428,Oil Gas & Consumable Fuels
DLF,0.40425531914893614,0.01252732913997324,0.44983075435203096,0.7283072546230441,Realty
DIVISLAB,0.010638297872340425,0.0,0.010638297872340425,0.0,Healthcare
DRREDDY,0.0,0.0,0.0,0.0,Healthcare
EICHERMOT,0.010638297872340425,0.0,0.19596587318306297,0.0,Automobile and Auto Components
ETERNAL,0.0,0.0,0.0,0.0,Consumer Services
GAIL,0.4148936170212766,0.007415294894722668,0.4350011690437222,0.7125506072874493,Oil Gas & Consumable Fuels
GODREJCP,0.02127659574468085,0.0006863417982155113,0.028368794326241134,0.0,Fast Moving Consumer Goods
GRASIM,0.09574468085106383,0.003084158429574328,0.32714963952874976,0.6111111111111112,Construction Materials
HCLTECH,0.05319148936170213,0.0,0.054711246200607896,1.0,Information Technology
HDFCBANK,0.0425531914893617,0.00027797642759893964,0.2889423823575089,0.3333333333333333,Financial Services
HDFCLIFE,0.02127659574468085,0.0,0.1759338061465721,1.0,Financial Services
HAVELLS,0.031914893617021274,0.0,0.2692864379794471,1.0,Consumer Durables
HINDALCO,0.13829787234042554,0.0004959666827660422,0.3354670032455824,0.8589743589743589,Metals & Mining
HAL,0.39361702127659576,0.007671904629151896,0.42111815301041194,0.7447447447447447,Capital Goods
HINDUNILVR,0.031914893617021274,0.0009151223976206818,0.03404255319148936,0.3333333333333333,Fast Moving Consumer Goods
HINDZINC,0.010638297872340425,0.0,0.247406914893617,0.0,Metals & Mining
ICICIBANK,0.1595744680851064,0.01569263811528617,0.33833424258956174,0.6476190476190476,Financial Services
ICICIGI,0.02127659574468085,0.0,0.1759338061465721,1.0,Financial Services
ITC,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
INDHOTEL,0.2553191489361702,0.001854208516604972,0.36995426526148334,0.8768115942028986,Consumer Services
IOC,0.30851063829787234,0.0011504708284372676,0.3880892782644973,0.8866995073891626,Oil Gas & Consumable Fuels
IRFC,0.09574468085106383,0.0,0.30925864361702127,1.0,Financial Services
NAUKRI,0.010638297872340425,0.0,0.03481624758220502,0.0,Consumer Services
INFY,0.06382978723404255,0.0011439029970258523,0.06382978723404255,0.6666666666666666,Information Technology
INDIGO,0.05319148936170213,0.0,0.29106695869837296,1.0,Services
JSWENERGY,0.24468085106382978,0.00010899816436306942,0.35031067595556387,0.9644268774703557,Power
JSWSTEEL,0.36170212765957444,0.016423657151052425,0.4256463051933196,0.6577540106951871,Metals & Mining
JINDALSTEL,0.3191489361702128,0.0007949948013257035,0.39193174636612593,0.8919540229885058,Metals & Mining
JIOFIN,0.0425531914893617,0.0,0.2889423823575089,1.0,Financial Services
KOTAKBANK,0.010638297872340425,0.0,0.22364466883038825,0.0,Financial Services
LTIM,0.05319148936170213,0.0,0.054711246200607896,1.0,Information Technology
LT,0.40425531914893614,0.00794701306632777,0.44477647621324407,0.7268847795163584,Construction
LICI,0.3191489361702128,0.0019083109350992442,0.39193174636612593,0.8436781609195402,Financial Services
LODHA,0.0425531914893617,0.0,0.2932230102442868,1.0,Realty
M&M,0.0425531914893617,0.0013480456857258506,0.29106695869837296,0.6666666666666666,Automobile and Auto Components
MARUTI,0.0425531914893617,0.027224891329215285,0.2787683548097093,0.16666666666666666,Automobile and Auto Components
MAXHEALTH,0.0,0.0,0.0,0.0,Healthcare
MAZDOCK,0.0851063829787234,8.473355533524831e-06,0.30450081833060555,0.9642857142857143,Capital Goods
NTPC,0.3723404255319149,0.002308900873243275,0.41668533034714444,0.8252100840336134,Power
NESTLEIND,0.02127659574468085,0.0,0.024316109422492398,1.0,Fast Moving Consumer Goods
ONGC,0.3404255319148936,0.0011161134582130922,0.40392965696917066,0.8810483870967742,Oil Gas & Consumable Fuels
PIDILITIND,0.0,0.0,0.0,0.0,Chemicals
PFC,0.3723404255319149,0.005100285175582097,0.43027289546716,0.8067226890756303,Financial Services
POWERGRID,0.32978723404255317,0.0008401599881156399,0.39585106382978724,0.9032258064516129,Power
PNB,0.39361702127659576,0.0049056771140429225,0.4256463051933196,0.7537537537537538,Financial Services
RECLTD,0.40425531914893614,0.011300499589430767,0.44477647621324407,0.7297297297297297,Financial Services
RELIANCE,0.3404255319148936,0.004362049085704828,0.41668533034714444,0.8145161290322581,Oil Gas & Consumable Fuels
SBILIFE,0.031914893617021274,0.02699611072981011,0.23846449628300437,0.3333333333333333,Financial Services
MOTHERSON,0.07446808510638298,0.0,0.30925864361702127,1.0,Automobile and Auto Components
SHREECEM,0.02127659574468085,0.0,0.25213443556037407,1.0,Construction Materials
SHRIRAMFIN,0.30851063829787234,0.006234549122017412,0.40392965696917066,0.7487684729064039,Financial Services
SIEMENS,0.3191489361702128,0.004461411429449192,0.39193174636612593,0.8275862068965517,Capital Goods
SOLARINDS,0.010638297872340425,0.0,0.2656718549193203,0.0,Chemicals
SBIN,0.39361702127659576,0.007800763266452074,0.44477647621324407,0.7492492492492493,Financial Services
SUNPHARMA,0.010638297872340425,0.0,0.010638297872340425,0.0,Healthcare
TVSMOTOR,0.010638297872340425,0.0,0.19596587318306297,0.0,Automobile and Auto Components
TCS,0.05319148936170213,0.0,0.054711246200607896,1.0,Information Technology
TATACONSUM,0.010638297872340425,0.0,0.018912529550827423,0.0,Fast Moving Consumer Goods
TATAPOWER,0.40425531914893614,0.006413097225426266,0.43027289546716,0.7268847795163584,Power
TATASTEEL,0.40425531914893614,0.054915555721348895,0.45500122279285893,0.6529160739687055,Metals & Mining
TECHM,0.05319148936170213,0.0,0.054711246200607896,1.0,Information Technology
TITAN,0.0,0.0,0.0,0.0,Consumer Durables
TORNTPHARM,0.0,0.0,0.0,0.0,Healthcare
TRENT,0.0,0.0,0.0,0.0,Consumer Services
ULTRACEMCO,0.2978723404255319,0.01802943500938143,0.3998495594240275,0.6772486772486772,Construction Materials
VBL,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
VEDL,0.32978723404255317,0.015246385344637178,0.39585106382978724,0.8043010752688172,Metals & Mining
WIPRO,0.05319148936170213,0.0,0.054711246200607896,1.0,Information Technology
ZYDUSLIFE,0.0,0.0,0.0,0.0,Healthcare
